Sampling, 0 , 67.0643642072 , -4.56213647848
Zero_imputatation, 0 , 67.0643642072 , -4.56213647848
Sampling, 1 , 67.1258034894 , -4.2051314262
Zero_imputatation, 1 , 67.1258034894 , -4.24355057158
Sampling, 9 , 55.8243157225 , -2.96322912398
Zero_imputatation, 9 , 48.8224061108 , -2.7846231117
Sampling, 10 , 60.0760456274 , -3.1623299551
Zero_imputatation, 10 , 51.9011406844 , -2.96596382795
Sampling, 18 , 43.4565434565 , -1.76013678157
Zero_imputatation, 18 , 38.3616383616 , -1.78720192001
Sampling, 19 , 42.7792915531 , -1.65718970015
Zero_imputatation, 19 , 38.4196185286 , -1.70154150914
Sampling, 27 , 27.7777777778 , -0.743119375382
Zero_imputatation, 27 , 28.5714285714 , -0.84458361059
